,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
11019,Lexus,2016,TP HCM,Cũ,73000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.5,1280.0
458,BMW,2013,Hà Nội,Cũ,79000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Đen,5,4,RFD,Xăng,2.0,580.0
3230,Ford,2023,Hà Nội,Cũ,15000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.0,670.0
13632,Mazda,2019,Hà Nội,Cũ,78000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,2.5,685.0
17219,MG,2021,Hà Nội,Cũ,39000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,470.0
10812,LandRover,2022,Hà Nội,Cũ,26000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,3790.0
7017,Hyundai,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5,5,FWD,Xăng,1.5,629.0
25721,VinFast,2020,Hà Nội,Cũ,62000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.4,315.0
19997,Suzuki,2023,Hà Nội,Mới,0.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Xám,5,5,FWD,Xăng,1.2,559.0
25227,VinFast,2021,Hà Nội,Cũ,37000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nâu,5,4,RFD,Xăng,2.0,595.0
13524,Mazda,2017,Thái Bình,Cũ,90000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.5,435.0
6963,Hyundai,2020,TP HCM,Cũ,47000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.4,898.0
9265,Kia,2015,Phú Thọ,Cũ,100000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Đen,7,5,FWD,Xăng,2.0,245.0
22539,Toyota,2020,Hà Nội,Cũ,34000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.5,995.0
19814,Subaru,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,849.0
11514,Lexus,2010,Hà Nội,Cũ,59000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,3.5,845.0
6170,Hyundai,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.25,414.0
13090,Mazda,2014,Hà Nội,Cũ,85000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nhiều màu,5,4,FWD,Xăng,1.6,330.0
25732,VinFast,2020,Hà Nội,Cũ,44000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Nâu,7,5,AWD,Xăng,2.0,799.0
