Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Mercedes Benz,2021,Hà Nội,Cũ,13000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nâu,5,4,RFD,Xăng,1.5,1289.0
Isuzu,2023,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cam,Đen,5,4,RFD,Dầu,1.9,750.0
Hyundai,2022,Hà Nội,Cũ,30000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Ghi,5,5,FWD,Xăng,1.5,650.0
Lexus,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,4,5,AWD,Xăng,3.4,9610.0
Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,678.0
Mercedes Benz,2022,Nghệ An,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5,4,RFD,Xăng,1.5,1849.0
Ford,2019,Hà Nội,Cũ,75000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,870.0
Honda,2017,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,365.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,4WD,Dầu,2.0,1420.0
Mazda,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7,5,FWD,Xăng,2.5,1024.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Nâu,Đen,7,5,4WD,Dầu,2.0,1545.0
Mitsubishi,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,FWD,Xăng,1.5,599.0
BMW,2012,Hà Nội,Cũ,90000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,430.0
Toyota,2020,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7,5,RFD,Dầu,2.4,905.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nhiều màu,5,5,FWD,Xăng,1.5,864.0
Toyota,2019,Hà Nội,Cũ,68003.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Kem,5,4,FWD,Xăng,1.5,345.0
Hyundai,2023,Hà Nội,Cũ,1500.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,655.0
Suzuki,2019,Hà Nội,Cũ,100000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.4,370.0
Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.25,405.0
Mercedes Benz,2016,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,3.0,1480.0
BMW,2008,TP HCM,Cũ,90000.0,Nhập khẩu,Sedan,Số tự động,Nhiều màu,Đen,5,4,RFD,Xăng,2.5,320.0
Kia,2021,Hải Dương,Cũ,365.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.25,365.0
Ford,2019,Phú Yên,Cũ,30000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,460.0
Mercedes Benz,2022,TP HCM,Cũ,14000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,2090.0
