,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
17169,Toyota,Land Cruiser GX 4.5,2005.0,455000000.0,Hà Nội,Xe đã dùng,200000.0,Lắp ráp trong nước,SUV,Số tay,Kem,Xám,8.0,5.0,4WD - Dẫn động 4 bánh,Xăng,4.5
259,Nissan,Navara EL 2.3 AT 2WD,2023.0,634000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.3
26841,Volkswagen,Tiguan Allspace,2018.0,930000000.0,TP HCM,Xe đã dùng,98149.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
4330,Mitsubishi,Outlander 2.0 CVT,2023.0,749000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,-,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
11853,Hyundai,SantaFe Premium 2.2L HTRAC,2020.0,940000000.0,Hà Nội,Xe đã dùng,69000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Dầu,2.2
26303,Lexus,RX 350 AWD,2014.0,1350000000.0,TP HCM,Xe đã dùng,73000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.5
28565,Kia,K3 Premium 2.0 AT,2022.0,615000000.0,Hà Nội,Xe đã dùng,28000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
30580,Suzuki,Ciaz 1.4 AT,2020.0,380000000.0,Điện Biên,Xe đã dùng,40000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
18433,Toyota,Vios E 1.5 MT,2024.0,458000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
23323,Mazda,CX5 2.5 Signature Premium 2WD,2020.0,790000000.0,Hà Nội,Xe đã dùng,40000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.5
